id_tweet,userid,screen_name,created_at,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
__1452036775300538372,1254359068967387141,gabrielarriolab,2021-10-23T22:18:39.000Z,Vergüenza es el PSOE.,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4.5,2,3.5,0,0,0,1,0,0,0,0,0,0,0,0,4,1
__1452037694348005385,1254359068967387141,gabrielarriolab,2021-10-23T22:22:18.000Z,Yolanda Díaz Presidenta @Yolanda_Diaz_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,8.75,7,8.5,0,0,1,0,0,0,0,0,0,0,0,0,3,1
__1456958662891786241,150618405,EVAYQUE,2021-11-06T12:16:28.000Z,"JAÉN
Ésto es HOY y quedan poquitas entradas!! 💃💃
#VILLANUEVADELARZOBISPO @el_clasico1984 a las 18:00h
Vamos a partirnos el ojal 😎💃 ENTRADAS AQUÍ ⬇️⬇️
https://t.co/fsFAhuOOkh https://t.co/lRxdqQw8ay",0,3,0,0,0,0,3,0,2,1,1,1,1,2,0,0,0,0,0,3,4,7,1,2,1,2,4,4,2,2,0,0,0,0,2,0,0,0,0,0,0,,6,1,2,7.260869565217392,4,4,3,3,3,3,1,0,1,0,1,0,0,1,6,8
__1461852588790403079,290481324,CarolinaSmith69,2021-11-20T00:23:11.000Z,"Buenas Noches 
mis Amores 🥰😘 en Redondela https://t.co/BsnrxGLPnT",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,3,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,1,7.857142857142857,6,6,1,1,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,3
__1462224282960859136,290481324,CarolinaSmith69,2021-11-21T01:00:10.000Z,"Me amo a mi misma porque soy una mujer empoderada
 💝 🏳️‍⚧️ en Redondela https://t.co/W8SEq6qWYU",0,2,0,0,0,0,2,0,1,0,1,2,0,0,0,0,1,0,1,2,1,3,1,0,0,1,2,2,2,2,0,1,2,0,1,0,0,1,0,0,0,,3,0,1,5.428571428571429,2,3.0,1,1,0,0,1,0,1,1,0,0,0,1,6.5,4
__1470511223032713221,339791882,Alone995,2021-12-13T21:49:31.000Z,Tengo tal hinchazon en la pierna q parece la de un obeso,0,2,0,0,0,0,2,0,3,1,2,4,0,2,0,0,1,1,0,1,3,4,3,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3.75,2,2.5,2,2,0,0,0,0,0,0,0,0,0,0,4.166666666666667,6
__1470829655573811202,339791882,Alone995,2021-12-14T18:54:51.000Z,Que coraje me dan cuando la gente no es clara,0,2,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,3.6,2,3.0,0,0,0,0,1,0,1,1,0,0,0,1,5.666666666666667,3
__1448387027993600001,943934464488550401,eplanaalonso,2021-10-13T20:35:51.000Z,"Más jóvenes como @elsaalmeda_ es lo que necesita nuestra sociedad,
 donde el odio y la codicia imperan de forma denigrante.

Nadie merece ser tratado como lo están haciendo con ella. Nadie.

Comentad y dadle apoyo. En esta familia nadie lucha solo. 💪🏼🇪🇸",1,6,0,0,1,1,6,0,4,1,3,4,0,2,0,0,0,1,1,0,6,6,6,0,2,4,0,0,3,10,2,2,7,0,4,1,4,0,0,0,1,,2,0,0,5,5,5,0,0,3,6,3,1,0,2,1,0,0,3,7.411764705882353,17
__1448995909782618150,51654407,RayRudilla,2021-10-15T12:55:20.000Z,"Los Pujol Ferrusola y las primas del Emérito
 en los #PandoraPapers ¡¡Que raro!!",0,0,0,0,0,0,0,0,4,3,1,1,3,4,0,0,0,0,0,1,2,3,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,5.153846153846154,3,5,3,2,1,4,1,1,0,1,0,0,0,1,8.25,4
__1453689358029053954,51654407,RayRudilla,2021-10-28T11:45:25.000Z,"Una sentencia más para el corrupto Partido Popular, pero tranquilos,
 ya se encargaran los medios informativos de acallar la noticia y algunos
 iniciaran nueva campaña contra Unidas Podemos.
#Todoenorden",2,0,0,0,1,0,0,2,4,2,2,3,1,4,0,0,0,0,0,0,6,6,4,1,2,3,1,1,3,2,1,0,0,0,1,0,1,0,0,0,0,,0,1,0,5.9655172413793105,2,6,0,0,1,3,3,2,1,2,1,0,0,3,7,10
__1468346446529372162,2264056631,MariaJoseSernaS,2021-12-07T22:27:28.000Z,"Via Instagram de mi equipo 👉🏻@realmadrid Real Madrid 2-0 Inter
⚽ 17' @Toni.Kr8s
⚽ 79' @MarcoAsensio10 
#Emirates | #UCL en España // Spain https://t.co/1eM5VxJmxA",0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,1,7,1,8,1,0,1,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,2,6.090909090909091,3,4.5,3,2,0,5,0,0,0,0,0,0,0,0,4,7
__1485236153930420226,785488050847645696,sandf_10,2022-01-23T13:01:08.000Z,un conciertito en madrid no vendría mal,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4.714285714285714,2,3,3,2,1,0,0,0,0,0,0,0,0,0,4.333333333333333,3
__1485255871038898179,785488050847645696,sandf_10,2022-01-23T14:19:29.000Z,"[23/1/22 15:15:58]: entonces pillamos las entradas?
 [23/1/22 15:17:53]: siii",0,1,0,0,0,0,1,0,5,0,1,0,1,1,4,0,0,0,0,0,4,4,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,7.555555555555555,8,8,1,1,0,15,0,0,0,0,0,0,0,0,3,6
__1449821392787152898,785488050847645696,sandf_10,2021-10-17T19:35:31.000Z,Nos dicen que vayamos a verlos que nos han echado de menos ❤️‍🩹😭,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,,3,0,0,3.6923076923076925,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7.8,5
__1450188357166936068,785488050847645696,sandf_10,2021-10-18T19:53:42.000Z,"Te mereces todo lo bueno y bonito que te pase, de verdad 💛",0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,4,1,0,3,0,3,1,0,0,0,0,0,,1,0,0,3.75,2,3.5,0,0,0,1,2,2,0,2,0,0,0,2,5.5,6
__1450385361499312132,785488050847645696,sandf_10,2021-10-19T08:56:31.000Z,Quiero la camiseta del Liverpool,0,1,0,0,0,0,1,0,2,1,1,2,0,2,0,0,0,0,0,1,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5.6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665,3
__1453737406557876231,220639235,henshousestudio,2021-10-28T14:56:21.000Z,"Ya estamos!! #Anfitrión #zaragoza @pentacionespectaculos
 #gira #teatro en Teatro Principal (Zaragoza) https://t.co/erkPAoXZDv",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,9.5,9,9.0,1,1,0,4,0,0,0,0,0,0,0,0,3.6666666666666665,3
__1454840638856327171,220639235,henshousestudio,2021-10-31T16:00:12.000Z,"Practicando un poco en la habitación del hotel. — 
A little bit of practice in the hotel room. 
@blackstaramps #carryontravelguitar @voxamplification #amplug2
 @ Zaragoza, Spain https://t.co/pKfYyfhcEg",0,0,0,0,0,1,0,0,3,2,1,3,0,2,0,0,1,0,0,8,2,10,2,0,1,1,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,6.88,2,5,7,1,1,2,0,0,0,0,0,0,0,0,5,7
