_id,screen_name,text
1397643899443818498,orondanatura,"Atardecer desde el @refugiopoqueira 

👇 INFO Y RESERVA
https://t.co/DK6hQiKKSI en Sierra Nevada https://t.co/b9YHNMdeRC"
1397644015126855685,RCtores,"Vidita 💫 en Granada, Spain https://t.co/tTlY5eCa31"
1397644924099698690,volarenasturias,"Espectacular foto 🙌 sobre la playa San Lorenzo. Comienza el verano en @gijon 

#volarenasturias #gijondesdeelaire 

Gracias @molinon  por la foto🙏 en Gijón, Asturias https://t.co/akZ9SatqHb"
1397645508454330368,Martarms16,"lo feliz que me hizo volver a sentirme turista por un día @ Córdoba, Spain https://t.co/PsR60bHXBm"
1397645613882384388,titumei,"En la foto parezco normal, pero en el fondo estoy pensando “PLAY JA JA DING DONG” 
-
-
#palma #throwback #grafitti #jajadingdong #tambienpiensoenZittieBuoni #zittiebuoni #mayo #spring #art #brunette https://t.co/Bc4x2PoOJN"
1397645908909518849,garci,"Qué ganas de salir de nuevo a la calle!!! 🏦🏨🏪📷📸📷🏥🏙 Me encantó testear este 17-70 de Tamron, gracias a @robisa.es por prestármelo! 

Hace unas semanas con @naataliags❤❤
Retoque @nsretouching en Madrid, Spain https://t.co/BYfNUrITPl"
1397646062995783682,Tatiana95543557,VINO y Se fue 🙄🤪 en Sevilla https://t.co/8V28HwG5Ld
1397646450050445315,Dariofuncional,"Guau!! Fuego!!🔥🔥 Aquí hay fuego!! 🔥🔥🤪🤪
.
.
.
.
@ionfyx @fixio_salud_y_deporte 
@chiguaguashop 
@huelvadeportiva @miguelcamarenasalud @funcional_fitness_huelva 
@salvajelobsterandburger 
@ en Funcional Fitness Huelva https://t.co/K9CbKqf3fx"
1397646529536659456,lefem_oficial,"CÁLLATE 🥀 30/05/2021 .
.
.
.

#lefem #singers #madrid #artistas #spotifylatam #musica #song #reels en Madrid, Spain https://t.co/7yrwK4fg18"
1397646570091393024,eltiojuan57,"Esperando la luna y salió por el otro horizonte.

#huelva#luna#noche#mayo en Aracena, Spain https://t.co/d8FSAvSTAz"
1397646927819415552,JeffreyHerrero,Edificios bonitos en Gran Vía. en Gran Via https://t.co/X9J3nFdbb0
1397646947050311680,martin_almiron,"He tenido la suerte y el placer de degustar una de varias cocas de San Juan de este establecimiento gracias a Ana y Miquel Elias.
Os la recomiendo para esta verbena. en Mataró https://t.co/oeWshq9tQa"
1397647056202870784,pluralrevista,"Cada día un menú distinto en RTE. can Blau #unsabormuynuestro en Son Ferriol, Islas Baleares, Spain https://t.co/DfLyl3j1dU"
1397647402736234500,adeltoros,".  
.
.
.
.
#deltoroantonio
#lanzarote
#canaryislands
#extremesports
#bodyboarding
#canonphotography
#canon
#CanonEspaña
#picoftheday
#quemaoclass
#billabong 
📸 2918 Antonio del Toro 💯🌊 en La Santa, Lanzarote https://t.co/gyNIwEoRYq"
1397647594269155332,marferlen,"Frase del día 🤓

.
.
.

#frasedeldia #reflexiones #newpost #nuevasección #novedades #blog #misdescubrimientosyyo #almendralejo #badajoz #extremadura #bloggerextremadura #bloggerextremeña #mystyle #myrules en Almendralejo https://t.co/QdHGybVB8x"
1397647608567541771,JohnRGriswold,"El ""Matador"" siempre aparece #UEFAEuropaLeague"
1397647649784926208,BeaSC87,"¡Amistad gigante! El contexto lo avala 😁😍 

#fotogigante #nuestraguíaeratop #windmills #castle #Consaburum #seeyoumyfriends #loslocossonellos #musincronizadosforever en Castillo de la Muela https://t.co/jZ16OgVJr8"
1397647737231978500,SergioParga17,"🖤 en Vigo, Spain https://t.co/WrmocoDBQB"
1397647824314060804,pluralrevista,"Buenas noches! @disgasoil te ofrece la música de  #radiobalear para que la noche sea cálida y a tu estilo, cuando la vida requiere comodidad la energía es indispensable... #recomendadoenradiobalear en Es Brollador https://t.co/rLaOm5slxP"
1397647825618542596,mercedesferrer,#viernesfiesta !! Vamos a celebrar unos cuantos cumpleaños 🎂 así que #nofaltéis !!! #birthday #party #28demayo a las 21:00 🕘 en #laparadazarzalejo #osesperamos 😍 en La Parada - Restobar de Zarzalejo: comidas&amp;espectáculos https://t.co/b0D21j2iPG
1397647892811235330,nicoleolguinf,perderse porái 🚶‍♀️ en Spain https://t.co/NXf3mzOU2D
1397648201163935745,anaalopez1998,"SÓLO SE TÚ MISMO.
ASÍ SIEMPRE SERÁS ÚNICO✨ en Cádiz https://t.co/f6JLy2uBAQ"
1397648493959802881,pluralrevista,"¿Ya has cenado? Feliz descanso con @caneduardorestaurante #guiapluraltapas #recomendadoenradiobalear #apoyoalahosteleriabalear #unsabormuynuestro #prohibidorendirse en Palma De Mallorca, Spain https://t.co/cJTV5Ac6RX"
1397648569918803970,FabianBPhoto,"Una de muchas tardes en familia! ❤️ en Barcelona, Spain https://t.co/QH1EYqDJZM"
1397648837062373378,CarlossFabricio,"No recordamos días, recordamos momentos 🤍 en Expo Zaragoza https://t.co/NtTFo455lZ"
1397648920801685509,lruizm,Colors of #Madrid #malasaña @ Malasaña https://t.co/5eADP0OJaG
1397648989088976896,adeltoros,".  
.
.
.
.
#deltoroantonio
#grancanaria
#canaryislands
#extremesports
#bodyboarding
#canon
#CanonEspaña
#canonphotography
#picoftheday
📸 1799 Antonio del Toro 💯🌊 en EL FRONTON https://t.co/kRkBBos9Ey"
1397649098166177797,WILESPIN,... en Málaga City Centre https://t.co/FDaOcy5rXa
1397649337941909504,Natividadngela1,"Pies para que os quiero si tengo alas para volar 

🌹🌙✨❤️ en Málaga, Spain https://t.co/bHIFaVTA6m"
1397649403998097422,pluralrevista,Construcción y reformas Tomeu Rossello ¡Te recomienda que escuches este audio de iVoox! Radio Esport 26/05/21 ESPECIAL FIN DE TEMPORADA con Miguel Barrado y Emilio de la Cámara https://t.co/GDyeqPKafJ https://t.co/l9vfe9YBiE
1397649832639074312,CandidoDomingo,"¡Pero que almuerzos más saludables!

#piva #eps #elCándido #somoselmundo #wearetheworld en CEIP Cándido Domingo https://t.co/D04tWJyohJ"
1397649854239805450,pluralrevista,@galletesartasanes na nit! Feliz descanso! #RECOMENDADOENRADIOBALEAR en Radio https://t.co/CpFgJK6QCB https://t.co/YoTJLadMsw
1397650051502116876,KukiTey,"Chorro en Cadiz, Spain. Cádiz, España https://t.co/x0I9nIwuiH"
1397650160365277191,garciabriz,Hace un. Momento en #Valencia #lunallena #lunadevalencia en Valencia https://t.co/1keMau1M4E
1397650838273892359,JuanMartin_Diaz,"Hoy Lamperti y Coello fueron mejores y así se reflejó en el resultado. 
A seguir entrenando !!

#padel #wpt #worldpadeltour
#wptsantanderopen en World Padel Tour https://t.co/PpgZy7fMeT"
1397650959636041732,barbifungo,"Sin duda esta es la coreo que más he disfrutado ❤
.
.
🏡 @eliteestudiomadrid 
🕺🏻@miguelangelelite en Élite Estudio Madrid https://t.co/UalWZfv0vQ"
1397651145913475073,drj1985,"Después y antes...despues primero porque tengo vergüenza de ensenaros la estufa tan sucia primero 🤭 funciona y huele muy bien 🍋🍊el spray quitagrasas @donlimpio_es @proximaati_es #laligadelalimpieza @ Málaga, Spain https://t.co/cYYCvM9rCg"
1397651253472071681,85Nathaly,"Si te caes también te puedes levantar, no importa cuantas veces caigas sino cuantas veces te levantas.   #sitecaestelevantas 💪🏽#esomeenseñomama 💫 en El Retiro - Jardines del Buen Retiro de Madrid https://t.co/5Z9SSRoex5"
1397651294303703045,Fofucan,"Tocado y Maquillaje 
Carnaval2020 Los Bohemios en Santa Cruz de Tenerife https://t.co/HgrCtGQQmF"
1397651448264073216,annacivis,--NEW --Aros de plata con zirconitas en un color azul superbonito. 💙 #aroszirconitas #plata925 #joyitas #jewelrylover en Lleida Cataluña https://t.co/rEt7qiuuzq
1397651621346172929,Fofucan,"Tocado y Maquillaje
Carnaval2020 Los  Bohemios en Santa Cruz de Tenerife https://t.co/NRPHscM0qW"
1397651820995137545,vickylandia_com,"✨Haz tu evento especial 💕y mágico 🌟con https://t.co/w4w81sJ7FZ💜
Mascotas Publicitarias🦄, disfraces y artículos de regalo🎁.
¡Cumple el sueño de tu peque! en Valencia https://t.co/jUXjDD5aUn"
1397652120476602368,drj1985,"También funciona el spray quitagrasas aqui @donlimpio_es @proximaati_es #laligadelalimpieza #donlimpiospray @ Málaga, Spain https://t.co/dM6fQhThpA"
1397652307383394304,Fofucan,Tocado revista vaya par de gemelas 2017 en Santa Cruz de Tenerife https://t.co/xFwWJzhCII
1397652526028279810,cesarcuencadj,"Pues aquí está el BOMBAZO!!!! Un año más estaré de residente junto a mi compañero @adanbakerdj en la terraza La Nuit en La Peraleda ( Toledo) Os espero!!!! #inevitable #siempreunasonrisaentucara en Villasequilla, Spain https://t.co/Scof5CuB8W"
1397652598996430848,Fofucan,Diseño vestuario en Santa Cruz de Tenerife https://t.co/WPjNzBL1NF
1397652887178731527,Fofucan,Maquillaje entierro la sardina en Santa Cruz de Tenerife https://t.co/BXIxdwNIXL
1397653491317870599,Fofucan,Maquillaje Fantasía Indu 1989 en Santa Cruz de Tenerife https://t.co/t2hcjHMsgq
1397653785175068677,Fofucan,"Tocados complementos
Fantasía India 2020 en Santa Cruz de Tenerife https://t.co/zhJktI6nsv"
1397653931044622343,davidayuso1967,Visitando a Lope de Vega en su casa en Plaza de la Encarnación https://t.co/PnvCW3aUIu
1397654148791799813,Fofucan,Tocado de goma eva 2020 en Santa Cruz de Tenerife https://t.co/vvuOuS2fHw
