userid,id_tweet,screen_name,created_at,texto_tweet,Numero_pasados,Numero_presentes,Numero_futuros,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Analisis_sentimiento,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_sintagma,Numero_sintagmas
1051545680,_1461716820302479364,Yunquera_,2021-11-19T15:23:42.000Z,Ole por los #nokia3310 @AAILAOficial . No està nada mal para solo llamar y que ns llamen.,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,3,4,2,1,2,0,2,1,2,3,0,0,1,0,1,1,1,0,0,0,0,,0,0,0,4.294117647058823,3,3,2,1,0,2,0,0,0,0,0,0,0,0,5.8,5
1051545680,_1461718440524320773,Yunquera_,2021-11-19T15:30:08.000Z,Oleee compañeros. No sabìa yo que los #nokia3310 hicieran tantas cosas. #respetoails @AAILAOficial,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,,0,1,0,6.615384615384615,5,6,2,1,0,2,2,0,0,1,0,0,0,2,3,3
1051545680,_1461719012849721346,Yunquera_,2021-11-19T15:32:24.000Z,"Ole. Mira, más funciones que no conocen algunos para los #nokia3310 @AAILAOficial",0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,2,2,1,2,1,0,0,0,0,1,1,0,0,0,0,,0,0,0,5.833333333333333,3,4.5,0,0,1,2,1,0,0,1,0,0,0,1,5.4,5
1051545680,_1461786746912452608,Yunquera_,2021-11-19T20:01:33.000Z,Así si.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,3,3.0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
1051545680,_1466146408126365706,Yunquera_,2021-12-01T20:45:18.000Z,Y si multiplicamos por los 766 centros que hay. Imagina.,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,4.7,3,3.0,0,0,0,2,0,0,0,0,0,0,0,0,4,5
1051545680,_1468702284460736517,Yunquera_,2021-12-08T22:01:26.000Z,Y si no tienes mucha soltura  con el movil y vives en un pueblo de menos de 10mil habitantes tu mèdico tu mèdico de atenciòn primaria  @saludand  aconsejará ir a un #guadalinfo que alli te atenderemos  muy gustosamente,0,2,1,1,0,3,0,6,3,1,5,0,0,2,0,0,0,0,1,6,7,4,1,2,2,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,4.657894736842105,2,3.5,5,2,1,0,3,1,1,2,0,0,0,3,10.083333333333334,12
1051545680,_1472949680686477319,Yunquera_,2021-12-20T15:19:04.000Z,"Ojo, la app @SaludAndalucia esta fallando hoy para descarga de pasaporte #COVID19 https://t.co/kT7RqNb6Px @snchzgarciana @TurismoYunquera @jmrodriperalta",0,1,0,0,1,1,0,3,0,2,2,0,0,1,0,0,0,0,1,3,4,3,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,8.625,4,8.0,1,1,0,1,1,0,1,1,0,0,0,1,4.625,8
1051545680,_1476659908682596359,Yunquera_,2021-12-30T21:02:11.000Z,Acaba de publicar una foto https://t.co/TmrbIbB98N,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7.5,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,3
1051545680,_1476660801037557760,Yunquera_,2021-12-30T21:05:44.000Z,"Descarga el Certificado Covid19 de la App Salud Andalucia.

#covid #vacunacion #app #saludandalucia #clicsalud en Yunquera, Andalucia, Spain https://t.co/0dMfwRZaje",0,0,0,0,0,0,0,3,1,1,2,0,0,1,0,0,0,0,8,0,8,0,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,1,7.631578947368421,2,7,4,2,0,3,0,0,0,0,0,0,0,0,5.2,5
1051545680,_1487510746036592647,Yunquera_,2022-01-29T19:39:33.000Z,"El pròximo lunes 31 de enero, el centro Guadalinfo estarà cerrado por reuniòn de teabajo de los  AILs de la comarca en Yunquera. en Yunquera, Andalucia, Spain https://t.co/JlBdTuKfba",0,0,0,0,0,0,0,5,3,1,3,0,0,1,0,0,0,0,8,4,12,2,0,1,1,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,5.5,2,5.0,10,3,0,4,2,2,0,2,0,0,0,1,5.25,12
