userid,screen_name,Numero_pasados,Numero_presentes,Numero_futuros,Numero_condicionales,Numero_Infinitivos,Numero_Gerundios,Verbos_indicativo,Verbos_subjuntivo,Numero_determinantes,Determinantes_masc,Determinantes_fem,Determinantes_sing,Determinantes_plu,Determinantes_articulos,Determinantes_numerales,Determinantes_exclamativos,Determinantes_indefinidos,Determinantes_demostrativos,Determinantes_posesivos,Numero_nombres_propios,Numero_nombres_comunes,Numero_nombres,Nombres_singular,Nombres_plural,Nombres_masculino,Nombres_femenino,Genero_no_detectado,Numero_no_detectado,Numero_preposiciones,Numero_pronombres,Pronombres_masc,Pronombres_fem,Pronombres_sing,Pronombres_plu,Pronombres_personales,Pronombres_relativos,Pronombres_indefinidos,Pronombres_demostrativos,Pronombres_interrogativos,Pronombres_numerales,Pronombres_posesivos,Numero_emojis,Numero_hagstags,Numero_webs,Longitud_media_palabras,Moda_palabras_tweet,Mediana_palabras_tweet,Numero_errores,Numero_tipos_de_error,Numero_tildes,Numero_signos_puntuacion,Numero_adjetivos,Adjetivos_masc,Adjetivos_fem,Adjetivos_sing,Adjetivos_plu,Adjetivos_comparativos,Adjetivos_numerales,Adjetivos_calificativos,Media_palabras_por_constituyente,Numero_constituyentes,Renta_zona_usuario,sentiment
150618405,EVAYQUE,0.16,1.34,0.04,0.01,0.31,0.09,1.47,0.07,1.84,0.82,0.63,1.24,0.5,1.07,0.38,0.0,0.25,0.1,0.21,0.81,2.91,3.72,1.81,0.65,1.21,1.28,1.24,1.26,2.19,1.49,0.18,0.04,0.72,0.28,1.07,0.16,0.09,0.09,0.04,0.03,0.0,1.21,0.37,0.44,5.48,3.74,4.47,1.22,1.12,1.28,2.82,0.66,0.25,0.26,0.49,0.18,0.01,0.03,0.65,4.83,6.04,11550.0,0.14
151515589,JoseAngelTL,0.27,0.55,0.0,0.0,0.55,0.0,0.82,0.0,1.82,1.18,0.55,1.73,0.18,1.45,0.09,0.0,0.09,0.18,0.18,1.18,3.36,4.55,2.18,0.27,1.36,1.09,2.09,2.09,3.09,0.45,0.0,0.0,0.27,0.0,0.36,0.09,0.0,0.0,0.0,0.0,0.0,0.55,0.73,1.0,7.04,2.0,5.82,2.0,1.55,1.27,1.73,1.09,0.64,0.0,0.91,0.0,0.0,0.09,1.09,4.62,7.36,12950.0,0.45
151799526,3Asesvino,0.12,1.5,0.12,0.0,0.38,0.12,1.75,0.0,2.5,0.38,1.5,1.12,1.0,0.88,0.62,0.0,0.38,0.0,0.75,0.5,4.12,4.62,2.12,1.5,1.5,2.12,1.0,1.0,3.0,1.38,0.12,0.5,0.5,0.5,0.75,0.12,0.12,0.0,0.0,0.0,0.38,0.25,2.62,1.12,6.95,3.25,5.94,2.0,1.38,1.25,3.88,0.88,0.12,0.5,0.25,0.62,0.0,0.0,0.88,4.65,7.5,13650.0,0.58
154279553,espritmundillo,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.25,0.57,0.37,0.85,0.08,0.93,0.32,0.0,0.0,0.0,0.0,3.8,2.32,6.12,1.23,0.95,1.43,0.77,3.92,3.93,2.38,0.05,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.47,1.98,9.06,5.58,6.67,2.73,0.98,0.17,1.58,0.32,0.15,0.0,0.12,0.12,0.0,0.02,0.32,3.86,5.15,11550.0,0.17
156213180,_jmartin_,0.08,1.54,0.08,0.0,0.31,0.0,1.54,0.08,1.69,1.0,0.54,1.38,0.38,1.23,0.15,0.0,0.31,0.0,0.15,0.62,3.69,4.31,2.54,0.85,1.46,1.85,1.0,0.92,1.92,1.46,0.38,0.08,0.54,0.23,0.92,0.15,0.15,0.0,0.23,0.0,0.0,0.0,0.23,0.31,5.48,3.54,4.42,0.69,0.46,1.23,1.85,0.54,0.23,0.0,0.54,0.0,0.0,0.0,0.54,5.32,6.08,10850.0,0.08
158159535,Steph_Paladines,0.0,0.56,0.11,0.0,0.0,0.67,0.67,0.0,1.33,1.0,0.22,1.0,0.33,0.56,0.11,0.0,0.22,0.33,0.11,2.44,2.44,4.89,1.78,0.56,1.44,0.89,2.56,2.56,2.44,0.78,0.22,0.11,0.33,0.33,0.67,0.0,0.11,0.0,0.0,0.0,0.0,1.89,0.11,1.0,6.98,4.67,5.67,1.78,1.33,1.67,1.89,0.67,0.33,0.22,0.44,0.22,0.0,0.0,0.67,4.54,6.56,11550.0,0.82
159032982,Riverita88,0.15,1.32,0.05,0.0,0.44,0.1,1.32,0.2,1.44,0.85,0.34,1.17,0.41,0.8,0.24,0.0,0.2,0.17,0.29,0.22,2.22,2.44,1.54,0.51,1.15,0.9,0.39,0.39,1.63,1.02,0.22,0.05,0.56,0.27,0.73,0.05,0.15,0.1,0.0,0.0,0.0,1.68,0.37,0.44,6.41,3.76,5.17,1.34,1.27,0.85,1.51,0.54,0.2,0.1,0.27,0.24,0.07,0.0,0.46,4.26,4.8,11550.0,0.42
161441647,jolufx,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,6.5,7.75,0.0,0.0,0.0,4.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,3.0,1.5,11550.0,0.19
161997182,RoBertiito10,0.0,0.5,0.0,0.0,0.25,0.25,0.5,0.0,2.25,1.25,0.75,1.5,0.75,1.75,0.25,0.0,0.0,0.0,0.25,0.5,2.5,3.0,1.75,0.75,1.75,0.75,0.5,0.5,1.25,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.66,2.75,3.75,1.0,0.75,0.5,1.25,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.5,5.38,4.25,11550.0,-0.43
162001517,vanevigo,0.03,0.87,0.01,0.0,0.69,0.05,0.87,0.05,1.08,0.27,0.76,1.02,0.06,0.37,0.05,0.0,0.65,0.01,0.03,1.79,2.58,4.37,2.01,0.49,0.96,1.5,1.91,1.88,2.59,0.35,0.09,0.0,0.11,0.09,0.27,0.01,0.04,0.01,0.0,0.01,0.0,0.24,0.55,1.0,6.69,4.03,5.15,1.75,1.44,0.39,3.11,0.6,0.24,0.19,0.41,0.14,0.0,0.0,0.6,4.33,5.87,13650.0,0.07
163393384,JCARGANDONA,0.12,0.88,0.12,0.0,1.0,0.25,1.12,0.0,2.88,1.12,1.38,2.25,0.5,1.25,0.38,0.0,1.0,0.25,0.25,2.75,4.75,7.5,3.5,0.62,2.38,1.75,3.38,3.38,4.38,0.62,0.25,0.0,0.12,0.12,0.25,0.12,0.25,0.0,0.0,0.0,0.0,2.12,0.0,1.12,6.05,2.88,4.44,1.12,0.62,0.88,2.62,1.12,0.38,0.5,1.0,0.12,0.12,0.12,1.0,6.26,8.75,12250.0,0.52
166291835,epitaphps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2.0,1.0,3.0,1.0,0.0,0.5,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.18,6.0,6.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.0,12250.0,0.0
